Team,Att,Cmp,Cmp %,Yds/Att,Pass Yds,TD,INT,Rate,1st,1st%,20+,40+,Lng,Sck,SckY
SF,574,398,69.3,7.5,4318,33,16,98.8,237,41.3,51,4,56,27,161
CHI,574,334,58.2,7.0,3991,28,7,90.7,190,33.1,60,7,65,24,165
CIN,640,412,64.4,6.6,4244,36,17,91.0,213,33.3,47,5,64,36,239
BUF,495,344,69.5,8.0,3981,29,10,104.6,196,39.6,61,10,54T,40,298
DEN,613,388,63.3,6.4,3931,25,11,87.7,196,32.0,47,7,52T,23,124
CLE,558,323,57.9,5.6,3152,16,18,70.0,134,24.0,35,7,66T,51,345
TB,558,351,62.9,6.7,3755,26,11,89.9,174,31.2,55,7,77T,38,255
ARI,649,427,65.8,6.7,4354,29,11,92.7,216,33.3,49,5,50,59,399
LAC,569,367,64.5,7.0,3953,26,14,89.8,185,32.5,45,8,60T,60,345
KC,584,363,62.2,6.8,3947,23,12,86.6,189,32.4,52,9,61,47,308
IND,547,360,65.8,7.5,4085,25,14,92.6,199,36.4,44,9,75T,29,212
WAS,469,287,61.2,7.1,3329,19,12,85.5,159,33.9,40,8,56,37,200
DAL,624,419,67.2,7.6,4735,31,12,98.2,229,36.7,56,12,86,31,208
MIA,479,322,67.2,6.9,3322,23,18,87.4,174,36.3,43,6,63T,38,254
PHI,497,318,64.0,7.0,3498,26,7,96.3,166,33.4,42,9,79T,35,195
ATL,545,332,60.9,6.8,3703,19,8,86.7,185,33.9,47,8,69T,26,180
NYG,526,323,61.4,7.0,3703,21,10,88.0,160,30.4,52,9,52,48,229
JAX,563,344,61.1,7.2,4026,29,12,91.1,196,34.8,57,6,63,41,247
NYJ,494,298,60.3,5.6,2784,15,13,75.0,136,27.5,27,3,52,60,399
DET,582,394,67.7,7.8,4567,35,8,105.5,224,38.5,66,8,64T,39,264
GB,489,328,67.1,7.9,3845,26,7,102.5,180,36.8,58,9,59,29,228
CAR,515,329,63.9,6.4,3304,24,12,87.9,170,33.0,43,4,54,35,256
NE,502,361,71.9,8.9,4459,31,8,113.0,206,41.0,69,6,72T,48,201
LV,515,340,66.0,6.4,3315,20,19,81.5,161,31.3,37,3,61T,64,464
LAR,598,388,64.9,7.9,4707,46,8,109.0,236,39.5,72,8,88T,23,150
BAL,422,278,65.9,7.8,3278,23,11,96.6,141,33.4,43,7,64T,45,293
NO,591,397,67.2,6.8,4027,19,12,88.7,183,31.0,33,6,87,49,299
SEA,481,325,67.6,8.4,4063,25,15,97.9,179,37.2,57,12,67,27,186
PIT,550,365,66.4,6.6,3632,26,9,93.8,160,29.1,41,7,80T,31,192
HOU,582,364,62.5,6.8,3956,24,9,89.8,184,31.6,48,11,75T,31,249
TEN,570,340,59.6,5.7,3241,15,8,78.4,156,27.4,41,3,47,56,417
MIN,484,298,61.6,6.6,3208,18,21,75.3,157,32.4,39,5,81T,60,374
